,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,TransportMeans,WklyStudyHours,NrSiblings,MathScore,ReadingScore,WritingScore,Average
6814,female,group D,some college,standard,none,divorced,regularly,yes,school_bus,5 - 10,3.0,61.0,71.0,74.0,68.66666666666667
6815,female,group C,some high school,free/reduced,none,married,sometimes,no,school_bus,5 - 10,2.0,42.0,51.0,50.0,47.666666666666664
6816,male,group D,bachelor's degree,standard,none,divorced,sometimes,yes,private,> 10,5.0,95.0,87.0,86.0,89.33333333333333
6817,female,group A,some college,standard,completed,married,sometimes,no,private,> 10,2.0,61.0,73.0,75.0,69.66666666666667
6818,male,group E,high school,free/reduced,none,married,sometimes,no,school_bus,> 10,1.0,71.0,72.0,63.0,68.66666666666667
6819,female,group D,some high school,free/reduced,none,married,regularly,yes,school_bus,5 - 10,2.0,48.0,58.0,59.0,55.0
6820,male,group C,master's degree,free/reduced,none,divorced,sometimes,yes,private,> 10,5.0,46.0,50.0,53.0,49.666666666666664
6821,male,group B,some college,free/reduced,none,married,never,yes,private,5 - 10,3.0,73.0,60.0,61.0,64.66666666666667
6822,female,group D,associate's degree,standard,none,divorced,never,no,school_bus,> 10,1.0,63.0,71.0,71.0,68.33333333333333
6823,female,group C,high school,standard,none,married,sometimes,no,school_bus,< 5,2.0,74.0,77.0,81.0,77.33333333333333
6824,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,school_bus,5 - 10,2.0,90.0,100.0,100.0,96.66666666666667
6825,female,group C,some high school,standard,completed,single,regularly,yes,school_bus,< 5,3.0,71.0,77.0,83.0,77.0
6826,male,group E,some high school,standard,none,single,sometimes,yes,school_bus,5 - 10,2.0,100.0,87.0,83.0,90.0
6827,female,group C,high school,standard,none,single,never,yes,school_bus,< 5,1.0,80.0,87.0,85.0,84.0
6828,female,group D,some college,standard,completed,married,regularly,yes,school_bus,> 10,1.0,63.0,75.0,74.0,70.66666666666667
6829,male,group C,some high school,standard,none,married,regularly,yes,private,5 - 10,3.0,69.0,65.0,58.0,64.0
6830,male,group E,associate's degree,free/reduced,none,divorced,sometimes,yes,school_bus,< 5,1.0,70.0,60.0,58.0,62.666666666666664
6831,male,group B,high school,free/reduced,completed,married,regularly,yes,school_bus,< 5,0.0,73.0,70.0,73.0,72.0
6832,female,group B,master's degree,standard,none,married,never,yes,school_bus,< 5,1.0,72.0,75.0,74.0,73.66666666666667
6833,female,group B,associate's degree,standard,none,single,sometimes,yes,private,5 - 10,3.0,84.0,84.0,85.0,84.33333333333333
6834,male,group A,some college,standard,completed,married,never,yes,school_bus,> 10,1.0,71.0,58.0,65.0,64.66666666666667
6835,female,group C,some high school,standard,none,married,never,yes,school_bus,5 - 10,0.0,74.0,81.0,77.0,77.33333333333333
6836,female,group C,high school,standard,none,single,sometimes,no,private,5 - 10,3.0,40.0,50.0,50.0,46.666666666666664
6837,male,group C,some high school,free/reduced,completed,married,regularly,yes,school_bus,> 10,2.0,61.0,57.0,52.0,56.666666666666664
6838,female,group D,some college,free/reduced,none,married,sometimes,yes,school_bus,5 - 10,2.0,57.0,71.0,67.0,65.0
6839,male,group B,master's degree,free/reduced,none,married,sometimes,yes,school_bus,< 5,2.0,83.0,82.0,77.0,80.66666666666667
6840,male,group C,some high school,standard,none,single,regularly,yes,school_bus,5 - 10,1.0,62.0,65.0,64.0,63.666666666666664
6841,female,group E,some college,standard,none,single,sometimes,yes,school_bus,5 - 10,0.0,88.0,91.0,89.0,89.33333333333333
6842,female,group D,some high school,standard,none,single,never,yes,private,< 5,1.0,42.0,48.0,52.0,47.333333333333336
6843,female,group C,bachelor's degree,standard,none,divorced,sometimes,yes,school_bus,< 5,4.0,64.0,61.0,61.0,62.0
6844,female,group B,some college,standard,none,married,regularly,yes,school_bus,5 - 10,2.0,37.0,44.0,47.0,42.666666666666664
6845,male,group B,some college,standard,none,married,sometimes,yes,private,5 - 10,0.0,66.0,60.0,60.0,62.0
6846,male,group C,master's degree,standard,completed,single,regularly,yes,school_bus,5 - 10,3.0,91.0,92.0,87.0,90.0
6847,female,group C,high school,standard,none,divorced,sometimes,yes,school_bus,5 - 10,2.0,77.0,82.0,82.0,80.33333333333333
6848,male,group D,associate's degree,standard,completed,married,never,yes,private,> 10,2.0,92.0,83.0,81.0,85.33333333333333
6849,male,group C,some college,standard,completed,single,sometimes,no,school_bus,5 - 10,5.0,83.0,75.0,77.0,78.33333333333333
6850,male,group B,some college,free/reduced,none,married,sometimes,yes,school_bus,5 - 10,6.0,63.0,63.0,55.0,60.333333333333336
6851,female,group A,bachelor's degree,standard,completed,married,sometimes,yes,school_bus,5 - 10,0.0,83.0,93.0,100.0,92.0
6852,female,group D,some college,standard,completed,single,never,no,private,5 - 10,3.0,69.0,83.0,82.0,78.0
6853,female,group C,master's degree,standard,completed,single,sometimes,no,private,5 - 10,3.0,59.0,59.0,68.0,62.0
6854,male,group D,high school,standard,none,married,never,yes,school_bus,5 - 10,0.0,81.0,79.0,73.0,77.66666666666667
6855,female,group D,bachelor's degree,standard,none,married,sometimes,yes,school_bus,5 - 10,0.0,42.0,61.0,68.0,57.0
6856,male,group D,some college,free/reduced,completed,widowed,sometimes,no,private,5 - 10,3.0,60.0,54.0,59.0,57.666666666666664
6857,female,group C,some high school,standard,none,married,sometimes,yes,school_bus,5 - 10,3.0,63.0,59.0,59.0,60.333333333333336
6858,female,group E,some college,standard,completed,married,sometimes,yes,school_bus,5 - 10,1.0,63.0,71.0,75.0,69.66666666666667
6859,female,group B,bachelor's degree,standard,none,married,sometimes,yes,school_bus,< 5,0.0,94.0,90.0,97.0,93.66666666666667
6860,male,group E,some college,standard,none,married,regularly,yes,school_bus,> 10,3.0,72.0,66.0,66.0,68.0
6861,male,group C,some college,standard,completed,single,sometimes,yes,private,< 5,1.0,85.0,79.0,78.0,80.66666666666667
6862,male,group D,some high school,standard,none,married,sometimes,yes,school_bus,> 10,1.0,70.0,63.0,60.0,64.33333333333333
6863,female,group B,some high school,standard,none,married,regularly,yes,private,5 - 10,1.0,52.0,60.0,63.0,58.333333333333336
6864,female,group B,some college,standard,none,married,never,no,school_bus,5 - 10,2.0,49.0,71.0,66.0,62.0
6865,female,group E,high school,standard,none,married,regularly,yes,private,5 - 10,0.0,69.0,78.0,74.0,73.66666666666667
6866,female,group D,associate's degree,free/reduced,none,married,regularly,no,school_bus,5 - 10,1.0,81.0,90.0,90.0,87.0
6867,male,group E,bachelor's degree,standard,completed,married,sometimes,yes,private,5 - 10,2.0,88.0,76.0,77.0,80.33333333333333
6868,male,group D,some high school,standard,none,married,never,yes,school_bus,< 5,0.0,54.0,57.0,51.0,54.0
6869,male,group C,some high school,standard,none,single,sometimes,no,school_bus,< 5,3.0,74.0,76.0,70.0,73.33333333333333
6870,male,group C,high school,free/reduced,none,divorced,regularly,no,private,5 - 10,3.0,38.0,39.0,41.0,39.333333333333336
6871,female,group C,some college,free/reduced,none,single,regularly,yes,private,5 - 10,2.0,48.0,55.0,51.0,51.333333333333336
6872,male,group A,some college,free/reduced,none,single,sometimes,yes,school_bus,5 - 10,0.0,57.0,61.0,59.0,59.0
6873,female,group B,some college,standard,none,married,regularly,yes,school_bus,5 - 10,1.0,86.0,94.0,88.0,89.33333333333333
6874,female,group E,associate's degree,free/reduced,none,married,regularly,yes,school_bus,< 5,0.0,87.0,97.0,92.0,92.0
6875,male,group E,some high school,standard,completed,married,sometimes,no,school_bus,5 - 10,1.0,89.0,82.0,82.0,84.33333333333333
6876,female,group C,high school,standard,completed,single,sometimes,yes,school_bus,5 - 10,0.0,80.0,100.0,91.0,90.33333333333333
6877,female,group C,high school,free/reduced,completed,single,never,no,school_bus,5 - 10,1.0,53.0,68.0,69.0,63.333333333333336
6878,female,group D,bachelor's degree,standard,none,single,sometimes,no,school_bus,> 10,3.0,82.0,74.0,85.0,80.33333333333333
6879,male,group C,some college,standard,none,single,sometimes,yes,school_bus,< 5,1.0,53.0,51.0,44.0,49.333333333333336
6880,male,group E,some college,free/reduced,none,single,sometimes,no,school_bus,< 5,1.0,71.0,61.0,58.0,63.333333333333336
6881,male,group A,some high school,standard,completed,married,sometimes,yes,private,< 5,1.0,76.0,69.0,71.0,72.0
6882,female,group D,some college,standard,none,married,regularly,yes,private,< 5,3.0,90.0,85.0,91.0,88.66666666666667
6883,female,group C,high school,standard,completed,married,regularly,yes,school_bus,5 - 10,6.0,76.0,89.0,92.0,85.66666666666667
6884,female,group C,high school,free/reduced,none,married,regularly,yes,school_bus,< 5,4.0,78.0,81.0,77.0,78.66666666666667
6885,female,group A,high school,free/reduced,none,divorced,sometimes,yes,private,5 - 10,2.0,75.0,75.0,78.0,76.0
6886,male,group E,high school,standard,none,divorced,sometimes,yes,school_bus,> 10,1.0,50.0,51.0,51.0,50.666666666666664
6887,female,group B,high school,standard,completed,single,sometimes,yes,private,5 - 10,1.0,77.0,83.0,88.0,82.66666666666667
6888,male,group B,some college,standard,none,single,regularly,no,school_bus,5 - 10,1.0,79.0,77.0,72.0,76.0
6889,male,group E,some college,standard,none,married,sometimes,yes,private,> 10,1.0,72.0,66.0,61.0,66.33333333333333
6890,male,group C,associate's degree,free/reduced,none,married,regularly,yes,school_bus,5 - 10,1.0,40.0,50.0,39.0,43.0
6891,male,group E,some high school,standard,none,divorced,regularly,yes,school_bus,5 - 10,1.0,93.0,92.0,80.0,88.33333333333333
6892,female,group C,high school,free/reduced,none,divorced,sometimes,yes,school_bus,< 5,3.0,23.0,27.5,30.0,27.833333333333332
6893,male,group A,some high school,standard,none,married,sometimes,no,private,5 - 10,2.5,51.0,53.0,47.0,50.333333333333336
6894,female,group C,associate's degree,standard,none,married,never,yes,school_bus,< 5,6.0,54.0,67.0,67.0,62.666666666666664
6895,male,group B,some high school,standard,none,single,never,yes,private,5 - 10,1.0,47.0,60.0,51.0,52.666666666666664
6896,female,group C,associate's degree,free/reduced,none,divorced,sometimes,yes,school_bus,> 10,4.0,51.0,56.0,57.0,54.666666666666664
6897,male,group E,some college,free/reduced,none,divorced,sometimes,no,school_bus,5 - 10,3.0,97.0,83.0,74.0,84.66666666666667
6898,female,group C,some college,standard,none,single,sometimes,yes,school_bus,< 5,2.0,56.0,65.0,65.0,62.0
6899,female,group A,some high school,standard,completed,divorced,sometimes,yes,school_bus,5 - 10,0.0,74.0,79.0,80.0,77.66666666666667
6900,female,group D,master's degree,standard,none,married,regularly,yes,school_bus,5 - 10,4.0,82.0,91.0,91.0,88.0
6901,male,group B,some college,free/reduced,none,married,sometimes,yes,school_bus,5 - 10,4.0,64.0,58.0,55.0,59.0
6902,male,group C,some high school,free/reduced,completed,married,never,no,school_bus,5 - 10,4.0,50.0,47.0,44.0,47.0
6903,male,group B,associate's degree,standard,none,married,never,yes,school_bus,5 - 10,1.0,59.0,65.0,54.0,59.333333333333336
6904,male,group E,associate's degree,standard,completed,married,sometimes,yes,school_bus,< 5,2.0,87.0,84.0,81.0,84.0
6905,male,group C,associate's degree,standard,none,married,regularly,yes,private,5 - 10,1.0,46.0,46.0,45.0,45.666666666666664
6906,female,group D,some college,standard,none,married,sometimes,no,school_bus,5 - 10,3.0,70.0,78.0,85.0,77.66666666666667
6907,female,group D,some college,standard,none,single,never,yes,private,< 5,4.0,59.0,66.0,70.0,65.0
6908,male,group D,master's degree,standard,none,divorced,never,yes,school_bus,> 10,2.0,91.0,97.0,93.0,93.66666666666667
6909,female,group C,associate's degree,standard,completed,married,sometimes,yes,private,5 - 10,1.0,83.0,94.0,92.0,89.66666666666667
6910,female,group C,some high school,free/reduced,none,single,never,no,school_bus,> 10,2.0,37.0,53.0,50.0,46.666666666666664
6911,male,group E,bachelor's degree,standard,none,divorced,sometimes,yes,school_bus,5 - 10,3.0,79.0,68.0,66.0,71.0
6912,male,group E,some high school,standard,completed,married,regularly,yes,private,> 10,5.0,94.0,87.0,86.0,89.0
6913,female,group D,associate's degree,free/reduced,completed,married,sometimes,yes,school_bus,5 - 10,1.5,67.0,86.0,87.0,80.0
6914,female,group E,master's degree,standard,none,single,regularly,no,school_bus,5 - 10,2.5,79.0,78.0,80.0,79.0
6915,male,group C,bachelor's degree,free/reduced,none,single,regularly,yes,private,5 - 10,1.0,72.0,66.0,65.0,67.66666666666667
6916,male,group C,some high school,standard,none,married,sometimes,yes,private,> 10,1.0,92.0,89.0,83.0,88.0
6917,male,group E,high school,standard,none,single,sometimes,yes,school_bus,> 10,0.0,69.0,62.0,59.0,63.333333333333336
6918,female,group C,associate's degree,free/reduced,none,single,sometimes,yes,private,5 - 10,1.0,73.0,87.0,87.0,82.33333333333333
6919,female,group B,some college,standard,completed,single,sometimes,yes,school_bus,5 - 10,0.0,38.0,48.0,55.0,47.0
6920,female,group B,some college,free/reduced,none,married,sometimes,yes,school_bus,5 - 10,5.0,57.0,69.0,70.0,65.33333333333333
6921,male,group B,some college,standard,completed,married,sometimes,yes,private,5 - 10,3.0,70.0,73.0,70.0,71.0
6922,male,group D,some high school,standard,completed,married,sometimes,no,school_bus,5 - 10,1.0,83.0,78.0,80.0,80.33333333333333
6923,male,group C,some college,standard,none,married,regularly,yes,school_bus,5 - 10,3.0,84.0,85.0,85.0,84.66666666666667
6924,female,group E,high school,free/reduced,none,single,sometimes,yes,school_bus,> 10,1.0,85.0,89.0,87.0,87.0
6925,female,group D,some college,standard,none,widowed,regularly,yes,school_bus,< 5,1.0,75.0,83.0,89.0,82.33333333333333
6926,male,group B,some high school,free/reduced,none,married,sometimes,yes,private,5 - 10,4.0,51.0,68.0,63.0,60.666666666666664
6927,male,group D,some high school,free/reduced,none,married,never,no,school_bus,< 5,3.0,56.0,60.0,55.0,57.0
6928,female,group C,high school,standard,completed,married,regularly,yes,school_bus,< 5,1.0,92.0,99.0,99.0,96.66666666666667
6929,female,group C,some high school,free/reduced,none,divorced,never,no,private,5 - 10,3.0,76.0,82.0,78.0,78.66666666666667
6930,male,group D,master's degree,free/reduced,completed,married,sometimes,yes,school_bus,5 - 10,2.0,62.0,70.0,73.0,68.33333333333333
6931,female,group A,some high school,standard,none,married,never,yes,school_bus,< 5,1.0,39.0,44.0,46.0,43.0
6932,male,group D,some high school,free/reduced,none,married,regularly,yes,private,5 - 10,2.0,55.0,52.0,47.0,51.333333333333336
6933,male,group C,some college,standard,none,married,regularly,yes,private,5 - 10,2.0,67.0,65.0,61.0,64.33333333333333
6934,male,group A,bachelor's degree,standard,none,single,regularly,no,private,5 - 10,3.0,67.0,54.0,50.0,57.0
6935,male,group C,bachelor's degree,free/reduced,none,married,never,yes,school_bus,5 - 10,1.0,53.0,56.0,52.0,53.666666666666664
6936,male,group A,some college,free/reduced,none,married,sometimes,yes,private,< 5,1.0,76.0,73.0,72.0,73.66666666666667
6937,female,group E,bachelor's degree,free/reduced,none,single,regularly,yes,school_bus,5 - 10,2.0,70.0,79.0,71.0,73.33333333333333
6938,female,group B,some college,standard,completed,single,regularly,yes,private,< 5,4.0,67.0,65.0,75.0,69.0
6939,male,group D,high school,standard,completed,divorced,regularly,yes,private,5 - 10,3.0,84.0,76.0,82.0,80.66666666666667
6940,female,group D,some college,standard,completed,single,sometimes,yes,private,> 10,3.0,81.0,83.0,87.0,83.66666666666667
6941,female,group B,associate's degree,standard,none,single,sometimes,no,private,< 5,3.0,53.0,57.0,63.0,57.666666666666664
6942,female,group B,some college,free/reduced,none,married,sometimes,no,school_bus,5 - 10,3.0,62.0,79.0,69.0,70.0
6943,female,group C,high school,free/reduced,none,married,regularly,yes,school_bus,5 - 10,1.5,73.0,75.0,79.0,75.66666666666667
6944,female,group B,bachelor's degree,standard,none,single,sometimes,no,school_bus,5 - 10,3.0,80.0,82.0,85.0,82.33333333333333
6945,female,group D,associate's degree,standard,completed,divorced,sometimes,yes,school_bus,5 - 10,1.0,62.0,77.0,79.0,72.66666666666667
6946,female,group B,high school,standard,completed,single,sometimes,no,school_bus,5 - 10,3.0,69.0,74.0,72.0,71.66666666666667
6947,female,group D,high school,standard,none,divorced,sometimes,yes,school_bus,5 - 10,1.0,54.0,52.0,53.0,53.0
6948,female,group B,associate's degree,standard,none,divorced,sometimes,no,private,5 - 10,1.0,66.0,74.0,69.0,69.66666666666667
6949,male,group E,associate's degree,standard,none,single,regularly,yes,school_bus,< 5,1.0,84.0,79.0,74.0,79.0
6950,male,group D,associate's degree,standard,completed,single,regularly,yes,private,5 - 10,1.0,81.0,86.0,85.0,84.0
6951,female,group C,some college,free/reduced,none,married,regularly,no,private,5 - 10,3.0,51.0,56.0,55.0,54.0
6952,female,group C,some college,standard,none,divorced,never,yes,school_bus,> 10,4.0,58.0,57.0,56.0,57.0
6953,female,group C,some high school,standard,none,single,sometimes,yes,school_bus,5 - 10,5.0,37.0,45.0,47.0,43.0
6954,male,group C,some college,free/reduced,none,married,sometimes,yes,school_bus,< 5,0.0,52.0,52.0,49.0,51.0
6955,female,group C,high school,standard,completed,married,regularly,no,private,5 - 10,4.0,81.0,90.0,93.0,88.0
6956,male,group D,high school,free/reduced,none,married,regularly,no,private,< 5,1.0,48.0,60.0,48.0,52.0
6957,male,group A,high school,free/reduced,completed,married,regularly,yes,school_bus,5 - 10,3.0,56.0,68.0,67.0,63.666666666666664
6958,male,group C,some college,standard,none,married,sometimes,yes,school_bus,5 - 10,2.0,73.0,70.0,67.0,70.0
6959,male,group C,high school,standard,completed,divorced,never,yes,private,5 - 10,2.0,81.0,80.0,77.0,79.33333333333333
6960,male,group C,bachelor's degree,standard,completed,married,sometimes,no,school_bus,> 10,3.0,94.0,90.0,91.0,91.66666666666667
6961,male,group E,master's degree,free/reduced,completed,married,sometimes,yes,school_bus,5 - 10,4.0,76.0,86.0,84.0,82.0
6962,male,group D,some college,free/reduced,none,married,never,yes,school_bus,> 10,6.0,77.0,73.0,65.0,71.66666666666667
6963,male,group B,some high school,standard,completed,single,sometimes,no,school_bus,5 - 10,4.0,47.0,46.0,46.0,46.333333333333336
6964,male,group E,some college,free/reduced,none,married,sometimes,yes,school_bus,< 5,3.0,93.0,79.0,78.0,83.33333333333333
6965,male,group D,high school,standard,completed,married,sometimes,no,school_bus,5 - 10,2.0,72.0,77.0,76.0,75.0
6966,male,group B,some high school,standard,completed,married,regularly,yes,school_bus,5 - 10,4.0,62.0,60.0,56.0,59.333333333333336
6967,female,group C,bachelor's degree,free/reduced,completed,married,never,yes,school_bus,5 - 10,1.0,49.0,53.0,54.0,52.0
6968,female,group C,some high school,standard,none,married,regularly,yes,private,< 5,2.0,59.0,74.0,62.0,65.0
6969,male,group C,associate's degree,free/reduced,completed,divorced,sometimes,yes,school_bus,5 - 10,0.0,71.0,71.0,67.0,69.66666666666667
6970,female,group B,high school,standard,none,married,regularly,no,school_bus,5 - 10,1.0,43.0,47.0,51.0,47.0
6971,male,group D,high school,standard,none,married,regularly,yes,school_bus,< 5,3.0,60.0,51.0,54.0,55.0
6972,female,group B,high school,free/reduced,none,divorced,never,no,school_bus,< 5,4.0,36.0,54.0,43.0,44.333333333333336
6973,female,group D,associate's degree,standard,completed,married,regularly,yes,private,5 - 10,1.0,98.0,100.0,100.0,99.33333333333333
6974,female,group B,high school,standard,completed,married,regularly,yes,school_bus,> 10,1.0,62.0,67.0,77.0,68.66666666666667
6975,female,group C,bachelor's degree,standard,none,married,sometimes,no,school_bus,5 - 10,1.0,80.0,100.0,94.0,91.33333333333333
6976,female,group D,some college,standard,none,single,regularly,yes,school_bus,5 - 10,2.0,59.0,64.0,68.0,63.666666666666664
6977,female,group A,associate's degree,standard,completed,married,sometimes,no,school_bus,< 5,1.0,46.0,58.0,57.0,53.666666666666664
6978,female,group A,high school,free/reduced,none,married,sometimes,yes,school_bus,5 - 10,1.0,54.0,63.0,57.0,58.0
6979,female,group C,some college,standard,none,married,never,no,private,5 - 10,2.0,57.0,71.0,78.0,68.66666666666667
6980,female,group C,some high school,standard,completed,married,regularly,no,school_bus,< 5,6.0,55.0,68.0,69.0,64.0
6981,male,group E,master's degree,free/reduced,none,married,never,no,school_bus,5 - 10,1.0,71.0,71.0,71.0,71.0
6982,female,group D,associate's degree,standard,completed,married,regularly,yes,private,5 - 10,4.0,82.0,89.0,95.0,88.66666666666667
6983,female,group D,bachelor's degree,standard,none,divorced,regularly,yes,school_bus,> 10,0.0,49.0,63.0,59.0,57.0
6984,male,group D,bachelor's degree,free/reduced,completed,divorced,sometimes,yes,school_bus,< 5,1.0,71.0,74.0,77.0,74.0
6985,male,group B,master's degree,free/reduced,none,single,regularly,yes,school_bus,> 10,0.0,65.0,61.0,64.0,63.333333333333336
6986,female,group B,some college,standard,completed,single,regularly,yes,private,5 - 10,3.0,43.0,57.0,55.0,51.666666666666664
6987,male,group B,high school,free/reduced,completed,married,sometimes,yes,school_bus,> 10,2.0,61.0,58.0,61.0,60.0
6988,male,group C,some high school,free/reduced,none,single,never,yes,private,5 - 10,3.0,39.0,37.0,35.0,37.0
6989,male,group C,some college,free/reduced,completed,single,never,yes,school_bus,< 5,2.0,55.0,67.0,63.0,61.666666666666664
6990,female,group E,associate's degree,standard,none,married,regularly,yes,private,5 - 10,0.0,80.0,80.0,85.0,81.66666666666667
6991,male,group B,bachelor's degree,free/reduced,none,married,sometimes,yes,school_bus,< 5,3.0,45.0,46.0,47.0,46.0
6992,male,group C,associate's degree,standard,none,married,sometimes,no,school_bus,5 - 10,2.0,70.0,69.0,59.0,66.0
6993,male,group C,some high school,free/reduced,none,divorced,sometimes,no,school_bus,5 - 10,1.0,59.0,54.0,52.0,55.0
6994,male,group E,high school,free/reduced,none,married,regularly,yes,private,< 5,2.0,76.0,66.0,69.0,70.33333333333333
6995,female,group B,master's degree,standard,none,married,sometimes,no,private,5 - 10,2.0,39.0,48.0,47.0,44.666666666666664
6996,male,group B,some high school,standard,none,married,regularly,yes,private,5 - 10,1.0,74.0,76.0,78.0,76.0
6997,male,group A,some high school,standard,none,single,never,no,school_bus,< 5,2.0,63.0,61.0,52.0,58.666666666666664
6998,female,group B,bachelor's degree,free/reduced,none,married,sometimes,yes,school_bus,5 - 10,2.0,51.0,56.0,60.0,55.666666666666664
6999,female,group A,associate's degree,standard,none,married,sometimes,no,school_bus,5 - 10,1.0,90.0,100.0,100.0,96.66666666666667
7000,female,group B,master's degree,standard,completed,married,sometimes,yes,school_bus,5 - 10,1.0,59.0,77.0,73.0,69.66666666666667
7001,female,group A,associate's degree,free/reduced,none,married,regularly,yes,school_bus,< 5,1.0,42.0,45.0,44.0,43.666666666666664
7002,male,group D,associate's degree,standard,none,married,regularly,yes,school_bus,< 5,3.0,65.0,64.0,69.0,66.0
7003,male,group B,associate's degree,standard,none,married,regularly,yes,school_bus,5 - 10,1.0,83.0,79.0,74.0,78.66666666666667
7004,female,group D,high school,free/reduced,none,married,sometimes,no,school_bus,> 10,3.0,48.0,63.0,63.0,58.0
7005,male,group E,high school,standard,none,married,regularly,yes,private,5 - 10,3.0,75.0,71.0,59.0,68.33333333333333
7006,female,group B,some high school,standard,completed,married,sometimes,yes,private,5 - 10,4.0,58.0,65.0,66.0,63.0
7007,female,group C,associate's degree,standard,none,divorced,sometimes,no,school_bus,5 - 10,3.0,95.0,100.0,97.0,97.33333333333333
7008,female,group C,associate's degree,standard,none,married,regularly,yes,school_bus,5 - 10,2.0,97.0,97.0,93.0,95.66666666666667
7009,male,group E,some college,standard,none,married,regularly,yes,school_bus,5 - 10,0.0,78.0,69.0,63.0,70.0
7010,female,group C,some college,standard,none,single,regularly,no,private,< 5,2.0,66.0,72.0,70.0,69.33333333333333
7011,female,group E,associate's degree,free/reduced,none,married,sometimes,no,school_bus,5 - 10,1.0,64.0,74.0,71.0,69.66666666666667
7012,female,group B,associate's degree,standard,none,single,sometimes,yes,private,5 - 10,4.0,82.0,93.0,90.0,88.33333333333333
7013,male,group A,associate's degree,free/reduced,none,married,regularly,yes,school_bus,5 - 10,1.0,56.0,56.0,55.0,55.666666666666664
7014,female,group B,some college,standard,none,married,never,no,private,5 - 10,2.0,37.0,51.0,44.0,44.0
7015,male,group B,some college,free/reduced,completed,single,regularly,yes,private,> 10,0.0,65.0,57.0,54.0,58.666666666666664
7016,male,group C,bachelor's degree,standard,completed,single,sometimes,yes,school_bus,5 - 10,1.0,100.0,94.0,99.0,97.66666666666667
7017,male,group B,master's degree,free/reduced,none,married,regularly,yes,school_bus,> 10,3.0,58.0,61.0,58.0,59.0
7018,female,group C,high school,free/reduced,none,divorced,regularly,no,private,5 - 10,1.0,35.0,51.0,54.0,46.666666666666664
7019,male,group C,bachelor's degree,standard,completed,married,never,yes,private,< 5,4.0,94.0,93.0,94.0,93.66666666666667
7020,male,group D,bachelor's degree,standard,none,married,regularly,yes,school_bus,5 - 10,5.0,79.0,74.0,73.0,75.33333333333333
7021,female,group B,high school,free/reduced,none,single,regularly,yes,private,> 10,0.0,50.0,65.0,62.0,59.0
7022,female,group C,master's degree,standard,none,married,never,yes,private,< 5,1.0,59.0,64.0,61.0,61.333333333333336
7023,female,group D,master's degree,standard,none,divorced,sometimes,no,school_bus,> 10,3.0,41.0,50.0,57.0,49.333333333333336
7024,male,group D,some college,standard,completed,married,regularly,yes,school_bus,< 5,2.0,99.0,92.0,99.0,96.66666666666667
7025,female,group E,some college,standard,none,married,sometimes,no,school_bus,5 - 10,3.0,77.0,67.0,73.0,72.33333333333333
7026,male,group D,associate's degree,standard,none,married,regularly,yes,school_bus,5 - 10,0.0,73.0,71.0,74.0,72.66666666666667
7027,female,group A,some high school,standard,none,married,regularly,yes,school_bus,> 10,2.0,41.0,50.0,53.0,48.0
7028,male,group E,some high school,standard,completed,married,regularly,yes,private,< 5,2.0,85.0,74.0,75.0,78.0
7029,male,group B,some college,free/reduced,completed,married,regularly,yes,private,> 10,4.0,86.0,78.0,87.0,83.66666666666667
7030,female,group C,some college,free/reduced,none,married,never,no,school_bus,5 - 10,1.0,50.0,65.0,61.0,58.666666666666664
7031,male,group D,high school,standard,completed,single,sometimes,yes,school_bus,5 - 10,3.0,64.0,50.0,54.0,56.0
7032,female,group E,some college,free/reduced,none,married,never,yes,private,5 - 10,1.0,77.0,83.0,73.0,77.66666666666667
7033,female,group D,high school,standard,none,married,regularly,no,private,5 - 10,3.0,77.0,90.0,91.0,86.0
7034,male,group B,some college,standard,none,married,sometimes,yes,school_bus,5 - 10,3.0,56.0,49.0,49.0,51.333333333333336
7035,male,group E,some high school,free/reduced,none,married,sometimes,yes,private,< 5,3.0,87.0,84.0,76.0,82.33333333333333
7036,female,group D,associate's degree,free/reduced,none,divorced,regularly,yes,school_bus,> 10,0.0,57.0,65.0,70.0,64.0
7037,male,group D,some high school,standard,completed,married,regularly,yes,school_bus,> 10,5.0,82.0,76.0,74.0,77.33333333333333
7038,male,group B,some high school,standard,none,married,regularly,no,private,5 - 10,4.0,61.0,52.0,54.0,55.666666666666664
7039,male,group E,some college,free/reduced,none,married,sometimes,yes,private,< 5,0.0,59.0,53.0,49.0,53.666666666666664
7040,male,group C,associate's degree,standard,completed,married,never,yes,private,< 5,0.5,79.0,82.0,80.0,80.33333333333333
7041,male,group D,associate's degree,free/reduced,none,divorced,sometimes,yes,school_bus,5 - 10,4.0,51.0,58.0,56.0,55.0
7042,female,group E,high school,standard,completed,single,sometimes,no,school_bus,5 - 10,1.0,74.0,77.0,71.0,74.0
7043,female,group D,high school,standard,none,married,sometimes,no,school_bus,5 - 10,1.0,43.0,49.0,49.0,47.0
7044,female,group C,some high school,standard,none,married,sometimes,yes,private,5 - 10,4.0,64.0,65.0,58.0,62.333333333333336
7045,male,group A,high school,free/reduced,completed,married,regularly,no,private,5 - 10,1.0,70.0,63.0,59.0,64.0
7046,female,group B,associate's degree,standard,none,divorced,never,no,private,< 5,2.0,84.0,76.0,77.0,79.0
